2e20eae1-1803-4aa6-938b-0409b986d015	SOURCE_STATUS_COMPLETE	338		000-NEXUS-v24-current-truth-gate.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/2e20eae1-1803-4aa6-938b-0409b986d015
b6e3a272-18cc-4693-8d1d-2452ba5cc658	SOURCE_STATUS_COMPLETE	234		001-v24-repair-status.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/b6e3a272-18cc-4693-8d1d-2452ba5cc658
1d700d08-1170-402b-bbab-3436cf67157c	SOURCE_STATUS_COMPLETE	207		002-supersession-ledger.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/1d700d08-1170-402b-bbab-3436cf67157c
faff3f4c-1652-4e06-9175-da6ac64bfd73	SOURCE_STATUS_COMPLETE	146		003-next-agent-brief.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/faff3f4c-1652-4e06-9175-da6ac64bfd73
f915268f-6b30-4af5-adbe-0c8e6e0678d9	SOURCE_STATUS_COMPLETE	272		notebook-update-completion-report.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/f915268f-6b30-4af5-adbe-0c8e6e0678d9
038ed200-a653-4f38-bb85-01f4205cc0cb	SOURCE_STATUS_COMPLETE	216		v24-repair__000-README-全md版.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/038ed200-a653-4f38-bb85-01f4205cc0cb
9041c74e-137e-4c6a-b782-1297ae9887db	SOURCE_STATUS_COMPLETE	79		v24-repair__000-flat-md-folder-index.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/9041c74e-137e-4c6a-b782-1297ae9887db
1ab4b83f-9cf0-4e1f-aff3-8c423041f381	SOURCE_STATUS_COMPLETE	4		v24-repair__000-machine-index.json.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/1ab4b83f-9cf0-4e1f-aff3-8c423041f381
e62a6dad-e5a1-4498-a018-8bba61d47cc2	SOURCE_STATUS_COMPLETE	54		v24-repair__000-structured-readme.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/e62a6dad-e5a1-4498-a018-8bba61d47cc2
e95381cd-da0a-4086-b6b4-4e2c301851bf	SOURCE_STATUS_COMPLETE	0		v24-repair__assets__diagrams__v24-repair-flow.png	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/e95381cd-da0a-4086-b6b4-4e2c301851bf
a350f941-2f63-4768-86fc-70616be263b4	SOURCE_STATUS_COMPLETE	510		v24-repair__completion-report.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/a350f941-2f63-4768-86fc-70616be263b4
05f0ab50-b6d6-4ab1-b50e-b5f0e27e2314	SOURCE_STATUS_COMPLETE	228		v24-repair__context-packs__next-codex-context-pack.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/05f0ab50-b6d6-4ab1-b50e-b5f0e27e2314
8d60d6f7-4b80-4cf5-b151-c50de814c0e8	SOURCE_STATUS_COMPLETE	3		v24-repair__machine-manifest.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/8d60d6f7-4b80-4cf5-b151-c50de814c0e8
9623f540-2edd-40d9-b07c-2ba9a336913d	SOURCE_STATUS_COMPLETE	404		v24-repair__maps__v24-repair-system-map.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/9623f540-2edd-40d9-b07c-2ba9a336913d
b60a0c7e-833b-4a4e-8759-63c7d06df7e4	SOURCE_STATUS_COMPLETE	1875		v24-repair__report.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/b60a0c7e-833b-4a4e-8759-63c7d06df7e4
b028326e-5cfc-4e13-a119-826afd6b6c0f	SOURCE_STATUS_COMPLETE	442		v24-repair__round-logs__loop-01-12-summary.md	projects/1022174375734/locations/global/notebooks/621a5aae-0787-450c-8c0b-db43b2c26e1e/sources/b028326e-5cfc-4e13-a119-826afd6b6c0f
